image_id,image_path,original_class_id,class_idx,class_name,split
23431,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/3a0b4f54-bc4d-47be-9acf-8e2381b31a17.jpg,4511,390,Eupsittula canicularis,train
23418,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/597dad11-d6ff-4db1-be6c-057bdfca5009.jpg,4511,390,Eupsittula canicularis,train
23416,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/2cd79f7c-589a-43e4-acff-95001ae53289.jpg,4511,390,Eupsittula canicularis,train
23437,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/3750293b-05e0-4363-8d74-6fee914ae50a.jpg,4511,390,Eupsittula canicularis,train
23419,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/b1d57552-5166-4f7b-8b26-d886ad504a7d.jpg,4511,390,Eupsittula canicularis,train
23400,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/302a51ac-fe04-4b31-8ab4-62d2f6b62538.jpg,4511,390,Eupsittula canicularis,train
23429,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/86f616dc-f060-45df-b116-a1e261f9f9b6.jpg,4511,390,Eupsittula canicularis,train
23408,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/918aa6c0-ad53-49e8-9620-f60fcd438384.jpg,4511,390,Eupsittula canicularis,train
23436,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/d36f306e-71e8-425e-8a9e-b4e0303fb457.jpg,4511,390,Eupsittula canicularis,train
23430,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/f0c0c4b9-d426-404a-ae10-2e95c176a2e5.jpg,4511,390,Eupsittula canicularis,train
23421,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/f9e88149-a372-40ff-aaed-e0b2e8d8dcd7.jpg,4511,390,Eupsittula canicularis,train
23426,data/raw/train_mini/04511_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Eupsittula_canicularis/000414ae-8808-43ee-bfc0-dcb23456d7f4.jpg,4511,390,Eupsittula canicularis,train
